id,name,project_id,created_at,campaign_id,address,google_maps_url,source_query,working_hours,website
anchor_9fecafc3beff96f7,Waikato Hospital,specialist_support_services,2026-01-28 11:06:05.189908,cmp_1cbf011019,"183 Pembroke Street, Waikato Hospital, Hamilton 3204",https://www.google.co.nz/maps/search/Waikato+Hospital+in+Hamilton,Waikato Hospital in Hamilton,ambulance,http://www.waikatodhb.health.nz/
anchor_09c399d2fad6187a,Hamilton City Council,specialist_support_services,2026-01-28 11:06:05.188567,cmp_1cbf011019,"260 Anglesea St, Council Building Garden Place, Hamilton 3204",https://www.google.co.nz/maps/search/Hamilton+City+Council+Building+in+Hamilton,Hamilton City Council Building in Hamilton,Waikato Regional Council (Hamilton office),http://www.hamilton.govt.nz/
anchor_877e9d47989f7ae2,Nz Police Glenview Community Constable,specialist_support_services,2026-01-28 11:06:05.186921,cmp_1cbf011019,"Glenview Shopping Centre 220 Ohaupo Road, Glenview, Hamilton 3206",https://www.google.co.nz/maps/place/Nz+Police+Glenview+Community+Constable/data=!4m7!3m6!1s0x6d6d1f698bc7b27d:0x90df2fcf0fdce22b!8m2!3d-37.8224408!4d175.2875568!16s%2Fg%2F1pycljr8d!19sChIJfbLHi2kfbW0R... [TRUNCATED],Hamilton Police Station in Hamilton, · 155 King William St,
anchor_ac8d56e27abf2bc1,Police Scotland Hamilton,specialist_support_services,2026-01-28 11:06:05.185225,cmp_1cbf011019,"Campbell St, Hamilton ML3 6AS, United Kingdom",https://www.google.co.nz/maps/place/Police+Scotland+Hamilton/data=!4m7!3m6!1s0x4888152bcb5126f5:0x69b039514d49be01!8m2!3d55.7758105!4d-4.0353485!16s%2Fg%2F1tdgpdm6!19sChIJ9SZRyysViEgRAb5JTVE5sGk?authu... [TRUNCATED],Hamilton Police Station in Hamilton, · 155 King William St,http://www.scotland.police.uk/
anchor_0890a81029aa8d7e,Hamilton Police Service,specialist_support_services,2026-01-28 11:06:05.178194,cmp_1cbf011019,"2825 King St E, Hamilton, ON L8G 1J6, Canada",https://www.google.co.nz/maps/place/Hamilton+Police+Service/data=!4m7!3m6!1s0x882c98f7ab679b51:0xde1c2efd0058a76f!8m2!3d43.2204393!4d-79.7710035!16s%2Fg%2F1tdvf6hz!19sChIJUZtnq_eYLIgRb6dYAP0uHN4?authu... [TRUNCATED],Hamilton Police Station in Hamilton, · 155 King William St,http://www.hamiltonpolice.on.ca/
anchor_436c2420593eb605,Dinsdale Police Station,specialist_support_services,2026-01-28 11:06:05.175642,cmp_1cbf011019,"48 Whatawhata Road, Dinsdale, Hamilton 3078",https://www.google.co.nz/maps/place/Dinsdale+Police+Station/data=!4m7!3m6!1s0x6d6d220f40aeb31b:0xeed9cee87214cfd7!8m2!3d-37.7948502!4d175.2453475!16s%2Fg%2F1tfrs34z!19sChIJG7OuQA8ibW0R188UcujO2e4?auth... [TRUNCATED],Hamilton Police Station in Hamilton, · 155 King William St,https://www.police.govt.nz/
anchor_88b08a06fe3b0671,Hamilton Police Service,specialist_support_services,2026-01-28 11:06:05.173578,cmp_1cbf011019,"400 Rymal Rd E, Hamilton, ON L9B 1C2, Canada",https://www.google.co.nz/maps/place/Hamilton+Police+Service/data=!4m7!3m6!1s0x882c9a87daf517a9:0xf5d793926c2aee79!8m2!3d43.1977329!4d-79.876676!16s%2Fg%2F11c3k2tgnn!19sChIJqRf12oeaLIgRee4qbJKT1_U?auth... [TRUNCATED],Hamilton Police Station in Hamilton, · 155 King William St,http://hamiltonpolice.on.ca/
anchor_e0d502d98a2a81a8,Hamilton Police Station,specialist_support_services,2026-01-28 11:06:05.171287,cmp_1cbf011019,"11 Thompson St, Hamilton VIC 3300, Australia",https://www.google.co.nz/maps/place/Hamilton+Police+Station/data=!4m7!3m6!1s0x6acd02061c24f75b:0xc42c1efbcece7993!8m2!3d-37.747682!4d142.0260311!16s%2Fg%2F1vc6djpg!19sChIJW_ckHAYCzWoRk3nOzvseLMQ?authu... [TRUNCATED],Hamilton Police Station in Hamilton, · 155 King William St,https://www.police.vic.gov.au/hamilton-police-station?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Hamilton+Police+Station&utm_term=plcid_4337106089284868659
anchor_a13f6138bfe4df0c,Hamilton Police Service,specialist_support_services,2026-01-28 11:06:05.169858,cmp_1cbf011019,"155 King William St, Hamilton, ON L8N 4C1, Canada",https://www.google.co.nz/maps/place/Hamilton+Police+Service/data=!4m7!3m6!1s0x882c9b837bf52b51:0xeea8ff81e72f2664!8m2!3d43.2562102!4d-79.8627656!16s%2Fg%2F1tglnjt7!19sChIJUSv1e4ObLIgRZCYv54H_qO4?authu... [TRUNCATED],Hamilton Police Station in Hamilton, · 155 King William St,http://www.hamiltonpolice.on.ca/
anchor_5a1a1d43d9866c56,Hamilton North Police Station,specialist_support_services,2026-01-28 11:06:05.168078,cmp_1cbf011019,"1158 River Road, Flagstaff, Hamilton 3210",https://www.google.co.nz/maps/place/Hamilton+North+Police+Station/data=!4m7!3m6!1s0x6d6d230a47beca1b:0x6df55cbe414f9ede!8m2!3d-37.7383468!4d175.2540363!16s%2Fg%2F11t3pzscml!19sChIJG8q-RwojbW0R3p5PQb5c... [TRUNCATED],Hamilton Police Station in Hamilton, · 155 King William St,
