id,name,project_id,created_at,campaign_id,type,url,snippet,query
intel_00dbee41dd5a7594,Supported Housing :: Kāinga Ora – Homes and Communities,specialist_support_services,2026-01-28 11:06:05.213130,cmp_1cbf011019,fact,https://kaingaora.govt.nz/en_NZ/social-housing-and-build-programme/partnering-with-us/supported-housing/,Supported Housing brings together publicly funded housing with support services that are essential to the wellbeing of people and whānau living ...,Ministry of Justice standards for supported accommodation New Zealand
intel_8f2448d69812d546,Supported accommodation,specialist_support_services,2026-01-28 11:06:05.212351,cmp_1cbf011019,fact,https://www.corrections.govt.nz/our_work/in_the_community/being_on_probation/supported_accommodation,Supported accommodation provides housing and other support to help people make positive changes in their lives as they return to the community from prison.,Ministry of Justice standards for supported accommodation New Zealand
intel_9021afe484209c38,Written by Tom Bennion for the Mental Health Commission ...,specialist_support_services,2026-01-28 11:06:05.211591,cmp_1cbf011019,fact,https://www.qualityplanning.org.nz/sites/default/files/planning_processses_for_providing_supported_accommodation.pdf,"by T Bennion · 2000 · Cited by 2 — This paper has been prepared to inform councils, policy makers, and providers about the nature of the problem and suggest improved practices, ...",Ministry of Justice standards for supported accommodation New Zealand
intel_5624f3204e2586a4,Supported Accommodation Service Specification,specialist_support_services,2026-01-28 11:06:05.210748,cmp_1cbf011019,fact,https://orangatamariki.govt.nz/assets/Uploads/Working-with-children/Information-for-providers/Service-Specifications/Supported-Accommodation.pdf,"Providers delivering the Supported Accommodation Service are required to meet Level Two, Ministry of Social Development (MSD) specific accreditation standards.",Ministry of Justice standards for supported accommodation New Zealand
intel_94f7970810621975,SUPPORTED HOUSING GUIDELINES,specialist_support_services,2026-01-28 11:06:05.209911,cmp_1cbf011019,fact,https://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/service-guidelines/supported-housing-guidelines.pdf,"Providers delivering Supported Housing service are required to meet Level Two, Ministry of. Social Development specific accreditation standards. Providers ...",Ministry of Justice standards for supported accommodation New Zealand
intel_9b24989e389cf6e6,Lag Law,specialist_support_services,2026-01-28 11:06:05.208956,cmp_1cbf011019,fact,https://communitylaw.org.nz/wp-content/uploads/2020/09/Lag-Law-text-2021-1.pdf,"Lag Law is a basic, plain English guide to help you know the laws that affect you when you are put in prison. It is not only for people in ...",regulations for operating EM Bail and Parole facilities Hamilton
intel_7111f3aa562e694c,Facility Rules and Conditions,specialist_support_services,2026-01-28 11:06:05.207978,cmp_1cbf011019,fact,https://specialistsupportservices.net.nz/useful-links-2/,1. Compliance with Bail or Parole Conditions · 2. Enforcement of Rules and Consequences · 3. Zero-Tolerance Policy · 4. Mandatory Programme Participation · 5.,regulations for operating EM Bail and Parole facilities Hamilton
intel_4e9dd41229020277,Electronic Monitoring on Bail (EM Bail),specialist_support_services,2026-01-28 11:06:05.207058,cmp_1cbf011019,fact,https://www.police.govt.nz/about-us/programmes-initiatives/embail,"An accused or their lawyer must file an EM bail application at: Court and get a hearing date – usually set at least 10 working days from the date of filing, ...",licensing requirements for EM Bail and Parole accommodation providers Hamilton
intel_999e615cf920adf4,Electronic Monitoring on Bail (EM bail),specialist_support_services,2026-01-28 11:06:05.206158,cmp_1cbf011019,fact,https://www.corrections.govt.nz/our_work/before_sentencing/em_bail,"EM bail requires a person to remain at an approved address at all times and be monitored by Corrections for up to 24 hours a day, seven days a week.",licensing requirements for EM Bail and Parole accommodation providers Hamilton
intel_39c96461e0172c13,Secure Bail Accommodation New Zealand,specialist_support_services,2026-01-28 11:06:05.205190,cmp_1cbf011019,fact,https://specialistsupportservices.net.nz/about-us/secure-bail-accommodation/,"The Triple S rehabilitation programme integrates accommodation for offenders on EM bail with 24/7 video surveillance and, when required, on-site licensed ...",licensing requirements for EM Bail and Parole accommodation providers Hamilton
intel_a05fb112f42a40de,Electronic monitoring: Important information for prisoners,specialist_support_services,2026-01-28 11:06:05.204233,cmp_1cbf011019,fact,https://www.corrections.govt.nz/resources/information_brochures/electronic_monitoring_important_information_for_prisoners,This booklet provides you with information about electronic monitoring to help you complete your order successfully.,licensing requirements for EM Bail and Parole accommodation providers Hamilton
intel_cb478b4f84e87fc5,Accommodation Supplement 2025 & 2026: Rates & Eligibility,specialist_support_services,2026-01-28 11:06:05.203228,cmp_1cbf011019,competitor,https://www.moneyhub.co.nz/accommodation-supplement.html,The Accommodation Supplement is a type of financial assistance available from Work and Income to help with the costs of accommodation. It is paid in addition to ...,supported accommodation rates Hamilton
intel_91dffd5b045ef22e,Home Based Support Services,specialist_support_services,2026-01-28 11:06:05.202182,cmp_1cbf011019,competitor,https://www.tekohaohealth.co.nz/home-based-support-services,"Supporting Whānau independence by providing a flexible, holistic, whānau focused service through cultural connectedness, environment, healthy lifestyles and ...",supported accommodation rates Hamilton
intel_2ac1ed39d82fa346,Accommodation Supplement,specialist_support_services,2026-01-28 11:06:05.201276,cmp_1cbf011019,competitor,https://www.workandincome.govt.nz/products/a-z-benefits/accommodation-supplement.html,"Accommodation Supplement is a weekly payment which helps people with their rent, board or the cost of owning a home. Open all sections. Who can get it.",supported accommodation rates Hamilton
intel_ac920e3f142e5fb0,Brylyn Residential Care - Hamilton,specialist_support_services,2026-01-28 11:06:05.200340,cmp_1cbf011019,competitor,https://www.eldernet.co.nz/provider/brylyn-residential-care/residential-care,Premium Accommodation Charges. From $13 up to $55 /day. Regulatory Information. Ministry of Health Certified. Yes. Contract with Health New Zealand Te Whatu Ora.,supported accommodation rates Hamilton
intel_7d7d514aec241824,"Supported housing • Mental health • Hamilton Central, ...",specialist_support_services,2026-01-28 11:06:05.199358,cmp_1cbf011019,competitor,https://www.healthpoint.co.nz/mental-health-addictions/mental-health-programmes/supported-housing-mental-health/waikato/hamilton-central/,Ashburn Clinic Free $$ Fees apply. A therapeutic community providing psychiatric assessment and treatment for mental health and addictions including inpatient ...,supported accommodation rates Hamilton
intel_46ae7f83fafc3b80,NZ Bail Accommodation & Support Service,specialist_support_services,2026-01-28 11:06:05.198253,cmp_1cbf011019,competitor,https://www.familyservices.govt.nz/directory/viewprovider.htm?id=24136&back=searchprovideralphabetical&letter=N&providerId=&scrollPos=,Our focus is on those who are eligible for bail accommodation but need extra supported accommodation. Cost: Donation/Koha. Concessions ...,EM Bail and Parole accommodation price list Hamilton
intel_236fdf3fb73e2536,Housing when you leave prison,specialist_support_services,2026-01-28 11:06:05.197004,cmp_1cbf011019,competitor,https://www.workandincome.govt.nz/housing/nowhere-to-stay/leave-prison.html,"If you leave prison and have nowhere to stay, we may be able to help you find accommodation. Housing with other organisations. Department of Corrections.",EM Bail and Parole accommodation price list Hamilton
